Invoice ,Date,Due Date,Reference,Combined,Gross,Balance,Status,Source,Invoice Sent,matches
INV-95773,29 May 2024,29 May 2024,Alaska Common,INV-95773Alaska Common,13.93,0,Paid,Receivable Invoice,Sent,
INV-95904,30 May 2024,30 May 2024,Alaska Common: Verizon Elevator Phone  05.10.2024 - 06.09.2024,INV-95904Alaska Common: Verizon Elevator Phone  05.10.2024 - 06.09.2024,25.33,0,Paid,Receivable Invoice,Sent,
INV-95712,03 Jun 2024,04 Jun 2024,Alaska 100I JB:29706,INV-95712Alaska 100I JB:29706,78.21,0,Paid,Receivable Invoice,Sent,
INV-95663,04 Jun 2024,05 Apr 2024,Alaska Common JB: 28768,INV-95663Alaska Common JB: 28768,"1,777.25",0,Paid,Receivable Invoice,Sent,
INV-95766,10 Jun 2024,15 Jun 2024,Alaska 2024 management fees,INV-95766Alaska 2024 management fees,"2,112.82",0,Paid,Receivable Invoice,Sent,
INV-95790,10 Jun 2024,11 Jun 2024,Alaska 312 JB:29798,INV-95790Alaska 312 JB:29798,62,0,Paid,Receivable Invoice,Sent,
INV-95860,18 Jun 2024,18 Jun 2024,Alaska 10 JB:29869,INV-95860Alaska 10 JB:29869,31,0,Paid,Receivable Invoice,Sent,
INV-95852,20 Jun 2024,20 Jun 2024,Alaska Common JB:29908,INV-95852Alaska Common JB:29908,155.18,0,Paid,Receivable Invoice,Sent,
INV-98540,22 Jun 2024,22 Jun 2024,Alaska Common: Tradify JB29927,INV-98540Alaska Common: Tradify JB29927,93,0,Paid,Receivable Invoice,Not sent,
INV-96306,26 Jun 2024,03 Jul 2024,Alaska Common JB:29965,INV-96306Alaska Common JB:29965,422.23,0,Paid,Receivable Invoice,Sent,
INV-95981,26 Jun 2024,27 Jun 2024,Alaska 460 JB:29967,INV-95981Alaska 460 JB:29967,62,0,Paid,Receivable Invoice,Sent,
INV-96382,30 Jun 2024,30 Jun 2024,Alaska Common: Verizon Elevator Phone  06.10.2024 - 07.09.2024,INV-96382Alaska Common: Verizon Elevator Phone  06.10.2024 - 07.09.2024,25.38,0,Paid,Receivable Invoice,Sent,
INV-95973,01 Jul 2024,01 Jul 2024,Alaska 40 JB:29983,INV-95973Alaska 40 JB:29983,32.96,0,Paid,Receivable Invoice,Sent,
